Date,Close
,MRF.NS
2015-06-01,35534.09765625
2015-06-02,34137.5546875
2015-06-03,34271.3046875
2015-06-04,34229.72265625
2015-06-05,33881.22265625
2015-06-08,33367.34375
2015-06-09,32314.953125
2015-06-10,32827.66015625
2015-06-11,31418.556640625
2015-06-12,31439.900390625
2015-06-15,31776.31640625
2015-06-16,31955.908203125
2015-06-17,32578.537109375
2015-06-18,32552.7109375
2015-06-19,32768.68359375
2015-06-22,33346.78515625
2015-06-23,33757.015625
2015-06-24,33342.83984375
2015-06-25,33296.3359375
2015-06-26,33278.875
2015-06-29,32772.71875
2015-06-30,33760.36328125
2015-07-01,34278.65234375
2015-07-02,34329.48046875
2015-07-03,34381.66015625
2015-07-06,34358.7734375
2015-07-07,34619.73046875
2015-07-08,34447.9921875
2015-07-09,34682.9609375
2015-07-10,34716.0390625
2015-07-13,35223.625
2015-07-14,34998.35546875
2015-07-15,35156.8515625
2015-07-16,35605.09375
2015-07-17,35719.8984375
2015-07-20,36095.47265625
2015-07-21,35657.91796875
2015-07-22,35858.72265625
2015-07-23,37570.6640625
2015-07-24,38001.95703125
2015-07-27,38450.25
2015-07-28,38746.1328125
2015-07-29,38961.875
2015-07-30,38861.12890625
2015-07-31,40277.93359375
2015-08-03,41969.80078125
2015-08-04,45071.77734375
2015-08-05,44760.86328125
2015-08-06,44152.3984375
2015-08-07,44307.90234375
2015-08-10,43901.8671875
2015-08-11,41959.015625
2015-08-12,40951.00390625
2015-08-13,41281.70703125
2015-08-14,41985.36328125
2015-08-17,42014.7421875
2015-08-18,43534.31640625
2015-08-19,43451.16796875
2015-08-20,42851.92578125
2015-08-21,42795.06640625
2015-08-24,38258.359375
2015-08-25,39337.22265625
2015-08-26,39521.625
2015-08-27,40348.2578125
2015-08-28,40446.65625
2015-08-31,39839.6640625
2015-09-01,39141.6328125
2015-09-02,39712.57421875
2015-09-03,39708.0390625
2015-09-04,38149.01171875
2015-09-07,37485.31640625
2015-09-08,38790.61328125
2015-09-09,38985.9609375
2015-09-10,40058.42578125
2015-09-11,39981.6953125
2015-09-14,40257.26953125
2015-09-15,39689.546875
2015-09-16,39328.015625
2015-09-18,39617.05078125
2015-09-21,40852.171875
2015-09-22,40875.65625
2015-09-23,40375.48828125
2015-09-24,40697.76953125
2015-09-28,40678.7734375
2015-09-29,41005.3515625
2015-09-30,41362.30078125
2015-10-01,41060.37109375
2015-10-05,42291.21484375
2015-10-06,41967.60546875
2015-10-07,42005.23046875
2015-10-08,41322.80078125
2015-10-09,40807.84765625
2015-10-12,40542.35546875
2015-10-13,40617.1796875
2015-10-14,40690.41796875
2015-10-15,41276.4375
2015-10-16,41325.859375
2015-10-19,41341.43359375
2015-10-20,41596.00390625
2015-10-21,41648.23046875
2015-10-23,42047.94140625
2015-10-26,41659.421875
2015-10-27,41009.640625
2015-10-28,40683.8046875
2015-10-29,40103.65234375
2015-10-30,39207.6328125
2015-11-02,38820.41015625
2015-11-03,39188.11328125
2015-11-04,38486.08984375
2015-11-05,38028.9765625
2015-11-06,37985.53125
2015-11-09,38433.65625
2015-11-10,37584.53125
2015-11-13,37855.8828125
2015-11-16,37500.58984375
2015-11-17,38992.3203125
2015-11-18,38402.5
2015-11-19,38797.9921875
2015-11-20,38846.18359375
2015-11-23,38641.49609375
2015-11-24,38423.6875
2015-11-26,38138.7421875
2015-11-27,38894.36328125
2015-11-30,38321.51171875
2015-12-01,38703.63671875
2015-12-02,38747.44921875
2015-12-03,38618.7109375
2015-12-04,39091.6875
2015-12-07,38638.296875
2015-12-08,38681.59375
2015-12-09,38514.4609375
2015-12-10,38906.4609375
2015-12-11,38878.2265625
2015-12-14,38077.52734375
2015-12-15,38262.92578125
2015-12-16,38205.70703125
2015-12-17,38611.453125
2015-12-18,38630.1953125
2015-12-21,38679.57421875
2015-12-22,38642.37890625
2015-12-23,38753.41796875
2015-12-24,39001.73828125
2015-12-28,39120.23828125
2015-12-29,39243.69140625
2015-12-30,39251.05078125
2015-12-31,39335.04296875
2016-01-01,40000.5
2016-01-04,39954.83984375
2016-01-05,40041.046875
2016-01-06,39869.375
2016-01-07,38534.8203125
2016-01-08,38112.93359375
2016-01-11,38448.39453125
2016-01-12,38347.11328125
2016-01-13,37920.7890625
2016-01-14,37659.75
2016-01-15,37175.3671875
2016-01-18,35700.85546875
2016-01-19,35867.3515625
2016-01-20,34563.6015625
2016-01-21,34434.2265625
2016-01-22,35743.3671875
2016-01-25,35633.63671875
2016-01-27,35274.5859375
2016-01-28,35246.87890625
2016-01-29,35141.609375
2016-02-01,33846.28515625
2016-02-02,34147.8203125
2016-02-03,33736.00390625
2016-02-04,33266.62890625
2016-02-05,33715.390625
2016-02-08,33675.73046875
2016-02-09,33198.26953125
2016-02-10,33365.21484375
2016-02-11,31865.44921875
2016-02-12,31379.1015625
2016-02-15,32864.4296875
2016-02-16,32775.54296875
2016-02-17,32888.7265625
2016-02-18,32980.21875
2016-02-19,33144.90625
2016-02-22,33271.06640625
2016-02-23,33132.078125
2016-02-24,32318.693359375
2016-02-25,31542.697265625
2016-02-26,31931.140625
2016-02-29,32104.296875
2016-03-01,33394.36328125
2016-03-02,33600.4609375
2016-03-03,33602.6328125
2016-03-04,33761.11328125
2016-03-08,33987.13671875
2016-03-09,33937.37109375
2016-03-10,33947.484375
2016-03-11,34030.48046875
2016-03-14,34131.05078125
2016-03-15,33889.0859375
2016-03-16,32999.26171875
2016-03-17,33475.0859375
2016-03-18,34244.625
2016-03-21,34274.6796875
2016-03-22,34336.57421875
2016-03-23,34859.69921875
2016-03-28,35667.91015625
2016-03-29,36413.328125
2016-03-30,37396.26953125
2016-03-31,37775.79296875
2016-04-01,36748.25390625
2016-04-04,36343.43359375
2016-04-05,35255.94140625
2016-04-06,35682.5546875
2016-04-07,35304.16796875
2016-04-08,34985.76953125
2016-04-11,35313.6875
2016-04-12,35776.359375
2016-04-13,36097.9765625
2016-04-18,36240.203125
2016-04-20,36315.421875
2016-04-21,35522.8984375
2016-04-22,35058.453125
2016-04-25,34923.27734375
2016-04-26,35235.13671875
2016-04-27,34313.04296875
2016-04-28,33649.0546875
2016-04-29,33328.125
2016-05-02,33721.9609375
2016-05-03,32980.07421875
2016-05-04,33256.421875
2016-05-05,33375.62109375
2016-05-06,33283.05078125
2016-05-09,33228.83984375
2016-05-10,32879.94921875
2016-05-11,32401.302734375
2016-05-12,32844.4453125
2016-05-13,32459.412109375
2016-05-16,32581.673828125
2016-05-17,32363.87109375
2016-05-18,32427.1953125
2016-05-19,32136.015625
2016-05-20,31570.412109375
2016-05-23,31351.43359375
2016-05-24,30740.5078125
2016-05-25,31530.564453125
2016-05-26,32110.22265625
2016-05-27,33085.91015625
2016-05-30,32992.89453125
2016-05-31,33314.98828125
2016-06-01,32888.37890625
2016-06-02,32970.8984375
2016-06-03,32972.921875
2016-06-06,32809.9296875
2016-06-07,32564.412109375
2016-06-08,32168.615234375
2016-06-09,32103.7109375
2016-06-10,31759.06640625
2016-06-13,31547.576171875
2016-06-14,31488.9375
2016-06-15,31232.919921875
2016-06-16,31165.400390625
2016-06-17,30906.03125
2016-06-20,31808.287109375
2016-06-21,31411.70703125
2016-06-22,31287.271484375
2016-06-23,31245.9921875
2016-06-24,30891.23046875
2016-06-27,31437.40234375
2016-06-28,32493.78125
2016-06-29,33063.2265625
2016-06-30,32627.68359375
2016-07-01,33198.8125
2016-07-04,34668.5
2016-07-05,34273.5390625
2016-07-07,34751.9921875
2016-07-08,34909.67578125
2016-07-11,34812.65234375
2016-07-12,34758.89453125
2016-07-13,34020.8671875
2016-07-14,34097.07421875
2016-07-15,33756.3203125
2016-07-18,34128.48046875
2016-07-19,34355.7109375
2016-07-20,34837.12109375
2016-07-21,33921.5
2016-07-22,33688.99609375
2016-07-25,34196.453125
2016-07-26,33401.8671875
2016-07-27,33563.234375
2016-07-28,33590.6484375
2016-07-29,33383.75390625
2016-08-01,33339.36328125
2016-08-02,33460.984375
2016-08-03,34229.94921875
2016-08-04,34931.7890625
2016-08-05,36665.546875
2016-08-08,36689.53125
2016-08-09,36501.609375
2016-08-10,36318.0234375
2016-08-11,36262.51953125
2016-08-12,35736.80859375
2016-08-16,35733.88671875
2016-08-17,36128.30078125
2016-08-18,36156.890625
2016-08-19,35717.86328125
2016-08-22,35100.1328125
2016-08-23,35355.98828125
2016-08-24,35905.99609375
2016-08-25,36062.82421875
2016-08-26,35944.97265625
2016-08-29,37064.62109375
2016-08-30,37183.125
2016-08-31,37025.203125
2016-09-01,36827.421875
2016-09-02,38430.51171875
2016-09-06,39106.35546875
2016-09-07,39460.26171875
2016-09-08,39600.92578125
2016-09-09,39764.8203125
2016-09-12,38675.48046875
2016-09-14,40280.5
2016-09-15,40677.29296875
2016-09-16,40067.78515625
2016-09-19,42633.46484375
2016-09-20,43146.67578125
2016-09-21,43330.80078125
2016-09-22,43893.82421875
2016-09-23,45343.359375
2016-09-26,45218.86328125
2016-09-27,46056.62890625
2016-09-28,49212.91796875
2016-09-29,48077.6328125
2016-09-30,50319.953125
2016-10-03,51331.20703125
2016-10-04,50670.40234375
2016-10-05,53110.5546875
2016-10-06,53307.4140625
2016-10-07,52891.0625
2016-10-10,52457.91796875
2016-10-13,52791.5625
2016-10-14,51879.2734375
2016-10-17,49331.3125
2016-10-18,51066.79296875
2016-10-19,49969.64453125
2016-10-20,49229.4296875
2016-10-21,49890.3828125
2016-10-24,49407.28515625
2016-10-25,49555.84765625
2016-10-26,49099.35546875
2016-10-27,45899.55078125
2016-10-28,47434.63671875
2016-11-01,49551.296875
2016-11-02,49030.66796875
2016-11-03,49718.3125
2016-11-04,49634.625
